"company","lat","lang"
"雅邦企業股份有限公司",23.08288,120.23133
"機零壹科技股份有限公司",23.09379,120.21951
"延星金屬股份有限公司",23.11107,120.23968
"南良實業股份有限公司",23.05484,120.23555
"高碳特殊鋼鐵股份有限公司",23.05142,120.23239
"益在精密工業有限公司",23.05974,120.22615
"正豐塑膠企業社",23.05699,120.23944
"臺南市安南區振旺企業社",23.06001,120.22742
"景程車體股份有限公司",23.05135,120.23656
"東榮機械工廠股份有限公司",23.05118,120.23606
"凱士士企業股份有限公司七股二廠",23.15935,120.13544
"凱士士企業股份有限公司臺南市七股區4A及5E廠",23.15951,120.13116
"驊麗科技股份有限公司",23.21181,120.15409
"揚盛實業有限公司",23.26630,120.14002
"得誠企業社",22.99558,120.28227
"有田紙業有限公司",24.95655,121.28834
"連昌興有限公司",25.09293,121.20740
"比力倉儲設備公司",25.08480,121.19793
"長聲工業股份有限公司",25.07917,121.20729
"九營機械有限公司",25.08316,121.19680
"立可生有限公司",25.02075,121.23623
"佑展企業股份有限公司",24.87794,121.24494
"薪豐工業暨有皇國際公司",24.87375,121.19191
"雄煒工業有限公司",24.89251,121.24027
"宗鉅塑膠軟管股份有限公司",24.94427,121.14704
"南僑鋁業股份有限公司",24.94352,121.14553
"詠曄股份有限公司",24.96908,121.17486
"化研科技股份有限公司",25.09152,121.41682
"自然人工草實業有限公司",25.06183,121.41856
"全乙工業有限公司",24.99988,121.41206
"加迎精機廠股份有限公司",25.00086,121.41296
"崧陽工業有限公司",24.99938,121.41302
"盛旺企業有限公司",25.00070,121.41319
"翔笙洗車設備有限公司",25.00008,121.41295
"安順鑄造廠",25.00008,121.41295
"宏奇泵浦工業有限公司",23.40577,120.34303
"聯陞水泥製品有限公司",23.58165,120.41058
"陸弘股份有限公司",23.59730,120.43565
"春輝產業股份有限公司",23.45268,120.35126
"嘉聯實業股份有限公司",23.42408,120.39141
"得營砂石實業有限公司",24.36553,120.70269
"廣源造紙股份有限公司",24.41393,120.64722
"富格蘭科技有限公司",24.49547,120.77668
"喬利鋼鐵工業股份有限公司",23.95795,120.66008
"元大興企業有限公司",23.96039,120.66233
"幸福山有限公司",23.94786,120.97193
"傳說企業有限公司",22.47819,120.50213
"佳格企業社",22.49206,120.44481
"福盛旺企業有限公司",22.49910,120.57072
"兆銳塑膠股份有限公司",24.89223,121.00026
"三綠科技(股)公司",24.07289,120.63660
"三麥機械股份有限公司",25.07377,121.46104
"上玄橡膠股份有限公司",23.57695,120.41435
"上荏企業有限公司",24.23529,120.71404
"上韡工業有限公司",24.28974,120.64591
"丞舜工程行",23.05853,120.13583
"丞賀有限公司",23.94472,120.55255
"中國軸承展業股份有限公司",24.99363,121.30098
"中榮電瓷工業股份有限公司",24.96079,121.12808
"亞科建材實業有限公司",23.05705,120.22680
"仁興金屬股份有限公司二廠",24.09641,120.47764
"仲維工業股份有限公司",22.99796,120.27646
"伸美企業社",23.06269,120.22631
"伸豐工業社",24.14306,120.48891
"佑展企業股份有限公司龍潭廠",24.99363,121.30098
"佑晟企業社",24.08533,120.71300
"佑誠工業有限公司",24.07383,120.68265
"佳慶工業社",23.05341,120.23932
"佳昇醫療器材有限公司",24.10469,120.68121
"佶采實業股份有限公司",24.06644,120.63774
"來安鋼鐵工業有限公司",24.08193,120.67659
"保元工業社",24.07799,120.68998
"倓廣股份有限公司",24.08193,120.67659
"倢暉興業有限公司",25.08483,121.43866
"傑森企業股份有限公司二廠",23.94330,120.56562
"億力鍋爐工程行",23.93026,120.56606
"優克利工具股份有限公司",24.10779,120.63809
"元億實業社",24.09761,120.70200
"元創金屬科技公司",22.85031,120.27056
"元興代工廠",23.93126,120.56748
"元越鐵模工業有限公司",23.97388,120.55477
"兆同企業股份有限公司",24.89799,121.00771
"入境公司實業有限公司",24.93023,121.28491
"入興五金工作所",23.02085,120.21881
"全成精密有限公司",24.05909,120.64469
"全皆興企業社一廠",22.99558,120.28228
"全皆興企業社二廠",22.99558,120.28228
"全立發機械廠股份有限公司",22.99751,120.30847
"典力公司",24.10469,120.68121
"冠男精密實業",22.80675,120.30150
"冠鈞工業社",24.10469,120.68121
"利泰加工所",23.09530,120.21665
"利鴻針織有限公司",24.96900,121.17556
"力彬實業股份有限公司",24.08182,120.47732
"加樺汽車保養廠",23.05528,120.23590
"加育工業有限公司",24.05910,120.64468
"勝國鐵工所",23.05853,120.13583
"勵冠機械鈑金股份有限公司",24.25784,120.71054
"協旺建設股份有限公司",25.08443,121.43754
"協昌工業有限公司",25.08483,121.43866
"協立石材企業社",24.05678,120.49554
"協順工程行",24.07756,120.45017
"南山食品廠二廠",23.97490,120.55542
"受興鋁業股份有限公司",22.91911,120.24717
"台強企業社",23.92023,120.54518
"台徑機械業股份有限公司",23.06286,120.22660
"台新電能源科技有限公司",24.08193,120.67659
"合昇工業社",24.21636,120.70625
"合鋼鋼板股份有限公司",24.29229,120.63163
"同昌機械股份有限公司",24.96915,121.17566
"君霖機械有限公司",24.08193,120.67659
"哲良企業有限公司",24.86728,120.98691
"啟盈實業有限公司",22.82345,120.31436
"喜多生物科技事業有限公司",24.08515,120.68052
"喬茂精模工業股份有限公司豐興廠",24.21570,120.72353
"喬霸企業股份有限公司",23.04917,120.22603
"嘉勇工程有限公司",23.06895,120.21702
"嘉洺實業有限公司",24.20657,120.70400
"嘉皇機械股份有限公司",22.94012,120.23973
"嘉詮石材有限公司",23.07868,120.19993
"嘉豪體育用品企業社歸仁廠",22.99558,120.28228
"地偉達股份有限公司",23.02809,120.33202
"坤昇金屬企業有限公司",23.09530,120.21665
"城銘工業社",24.10469,120.68121
"多崴力有限公司",25.06965,121.18974
"大世紀飾架有限公司二廠",23.07868,120.19993
"大彥公司",23.11707,120.23825
"大瓏針織廠",25.08483,121.43866
"大總彈簧企業有限公司",23.05853,120.13583
"大軒金屬企業有限公司",25.09217,121.41739
"奇紘企業社",22.99558,120.28228
"威全機械工業股份有限公司三廠",24.19297,120.67967
"威勝國際特殊金屬股份有限公司",24.21582,120.72358
"威士美國際有限公司",24.05811,120.64063
"威盛工業社",24.21636,120.70625
"宏亞鑫實業有限公司",23.02005,120.28733
"宏啟工業股份有限公司",24.08193,120.67659
"富雄鋼模廠股份有限公司",24.21495,120.72430
"寧偉股份有限公司二廠",24.07551,120.44729
"寬立工業股份有限公司",24.08193,120.67659
"寶嘉誠機械製造裝配廠",24.10779,120.63809
"寶宸泓有限公司",24.08193,120.67659
"寶成塑膠有限公司",24.06972,120.63898
"寶霖企業社",23.05889,120.22718
"尚品廚具有限公司",24.05767,120.49570
"尚皇科技有限公司",24.08503,120.68072
"尚益企業社",24.10469,120.68121
"展慶豐塑膠有限公司",24.08193,120.67659
"山亞實業股份有限公司",23.05124,120.23160
"峰成實業社",23.06156,120.22778
"峻溢精密鋼模有限公司",24.23909,120.70710
"崑加時裝有限公司",24.08193,120.67659
"崑泉實業社",23.05373,120.22795
"崑興鐵工廠",24.23241,120.66629
"巧得實業有限公司",24.05910,120.64468
"巨騰工業股份有限公司",24.96748,121.16818
"常潤企業股份有限公司",24.33399,120.64290
"康祥實業有限公司",24.99363,121.30098
"廣輝科技有限公司",23.05450,120.23638
"延武機械有限公司",24.95538,121.23000
"弘英實業有限公司",25.05384,121.16747
"弘達汽材有限公司歸仁廠",22.99558,120.28228
"強風有限公司",23.06150,120.22776
"德川工業社",24.08193,120.67659
"必統企業有限公司",23.05320,120.23807
"志昌邱鋼鐵有限公司台南廠",23.09530,120.21665
"怡勁企業有限公司",24.96897,121.17561
"惠冠企業股份有限公司",25.09217,121.41739
"惠豊紙器廠",23.05425,120.22774
"愛爾蘭商速聯(股)公司台灣分公神岡廠",24.24906,120.69895
"慧綺股份有限公司二廠",24.33027,120.73818
"慶宇企業社",23.06334,120.20661
"慶誠油漆行",23.95957,120.58547
"慶錩興業有限公司",24.34474,120.61037
"成安工業社",24.21636,120.70625
"成茂企業社",23.05247,120.23849
"成華實業股份有限公司歸仁廠",22.99558,120.28228
"承源精機廠股份有限公司",24.06490,120.64727
"承濬有限公司",23.05853,120.13583
"拴輝工業有限公司",24.33177,120.65332
"振勝工業有限公司",24.99363,121.30098
"振詮機械股份有限公司",24.08503,120.68072
"摯豐企業有限公司",24.95642,121.28608
"政昇鋼構有限公司",24.06442,120.65031
"敏傑飾品工藝坊",23.13272,120.17914
"新本發不銹鋼實業股份有限公司",23.09530,120.21665
"新楠發企業社(股)公司",23.05674,120.23741
"新模螺絲股份有限公司四廠",22.82244,120.30689
"日昇機械鈑金廠",24.19375,120.69630
"日月明國際有限公司",24.27070,120.78015
"日鼎紙器工業有限公司",25.09217,121.41739
"旭晟加工所",23.09530,120.21665
"旭田工業有限公司",24.08193,120.67659
"旺宏寵物美容館",25.08649,121.43507
"昇億鋼圈行",23.05236,120.23692
"昇宏鋁業社",23.08018,120.20919
"昇歷金屬股份有限公司",24.09643,120.47743
"昇隆金屬有限公司",23.08454,120.20552
"昌億不銹鋼有限公司",23.94105,120.55416
"明泉有限公司",24.25212,120.72236
"易興工業有限公司",24.33251,120.65657
"映陞企業社",23.04404,120.24501
"昱鋒鋼鐵有限公司",25.09206,121.41749
"昶瑋科技股份有限公司",25.00009,121.41296
"晁鼎股份有限公司",24.95926,121.29630
"晉庸工業有限公司",24.09423,120.48687
"晧大鎢鋼模具有限公司",22.81685,120.31929
"景明精密工具有限公司",23.20549,120.10118
"曨成精密有限公司",23.05333,120.23796
"有皇國際有限公司",24.99363,121.30098
"朴晨有限公司",22.92182,120.24584
"東光塗裝有限公司",23.93034,120.56593
"松易有限公司",23.94825,120.53942
"松欣鋼鐵有限公司二廠",25.06311,121.42008
"林昭玲裁縫工廠",24.07551,120.44729
"林立工業社",24.30198,120.58547
"柏瀛實業有限公司",23.09373,120.23110
"柯達企業",24.07960,120.47908
"桓煒塑膠有限公司",24.07710,120.68380
"棋揚機械有限公司",23.01462,120.21409
"楠華動力科技股份有限公司",23.04417,120.31549
"業晟企業有限公司一廠",22.92226,120.33996
"榮富傢俱公司",23.08739,120.21156
"權宏工業股份有限公司",24.10469,120.68121
"正記金屬製網有限公司",25.04415,121.44577
"比力倉儲設備股份有限公司二廠",25.09187,121.20642
"永明鑫企業有限公司",23.05516,120.23595
"永興得機械廠有限公司長和廠",23.04534,120.22514
"永豐福生技醫藥有限公司",25.09217,121.41739
"永進金紙舖",24.27120,120.65751
"汶欣工業有限公司",24.08193,120.67659
"波非特有限公司",24.10469,120.68121
"洪達自動化科技有限公司",24.08517,120.68014
"海瑞工業公司",24.98156,121.41986
"清合冷凍食品有限公司",22.87265,120.26177
"源旗機械有限公司歸仁廠",22.99558,120.28228
"準線國際(股)公司",24.25858,120.65355
"漢優機械股份有限公司",23.06863,120.22259
"漢苓實業股份有限公司",24.10469,120.68121
"漢苓機械",24.10469,120.68121
"燁昌科技有限公司",22.87158,120.27386
"玄生實業有限公司",23.06156,120.22778
"王秀滿銅鑄造工廠",24.07551,120.44729
"瑞奇特五金企業有限公司",24.08193,120.67659
"瑞振工業股份有限公司義興二廠",24.06161,120.48592
"瑞竝企業有限公司",23.06261,120.22627
"瑞邦企業社",24.08193,120.67659
"瑩諭實業社",23.05124,120.23160
"璨鏞工業股份有限公司",24.09571,120.47646
"申濤興業有限公司歸仁廠",23.00283,120.28664
"登泰企業社",23.12076,120.18491
"登盈儀器有限公司",25.05816,121.43279
"白馬展業有限公司",22.85683,120.26322
"百冠機械有限公司",23.06232,120.22807
"百力陽實業有限公司二廠",24.09203,120.47635
"百舜塑膠工業有限公司歸仁廠",22.99558,120.28228
"益儒有限公司",25.09206,121.41749
"盛家企業社",24.08055,120.45721
"盤九公司",22.95193,120.28588
"福正紙器",25.01013,121.42868
"福記壓鑄工業股份有限公司",22.97891,120.25938
"禾美實業社安定廠",23.09530,120.21665
"禾順鑫企業有限公司",23.05261,120.23852
"穩達密封工業股份有限公司",24.10469,120.68121
"精榮企業社",23.06290,120.22646
"綺烽企業有限公司",24.22664,120.68274
"緯峯公司",24.96113,121.29990
"美一塑膠實業股份有限公司",23.00030,120.30836
"美加麗實業有限公司",23.03510,120.31435
"翰東實業有限公司",23.05853,120.13583
"聖岳工具",24.08508,120.68020
"聖益工業社",24.23497,120.71392
"聯合包裝事業",24.08561,120.68184
"聯眾纖維股份有限公司",24.99363,121.30098
"至盈實業有限公司三廠",22.81532,120.31888
"至盈實業股份有限公司五廠",22.82386,120.31665
"至盈實業股份有限公司六廠",22.82386,120.31665
"興廣公司",24.93178,121.28364
"興隆工業社",24.21636,120.70625
"茂晟公司",24.95928,121.28831
"萬一昌業行歸仁廠",22.99558,120.28228
"萬毅企業有限公司",22.83747,120.27786
"藝昇印花工廠",23.12579,120.19934
"藝暉家具",25.08324,121.45699
"虹菱實業股份有限公司",22.92127,120.24403
"融威企業股份有限公司二廠",22.81704,120.31962
"詮峰工業股份有限公司",24.24772,120.65792
"誠太鋼鐵",24.10469,120.68121
"謝清福裁縫工廠",24.07551,120.44729
"證豐工業有限公司",24.12108,120.71061
"豐勝工業股份有限公司",24.08503,120.68072
"豐美紙器工業有限公司",24.05678,120.49550
"豐譯企業社嘉華廠",22.82175,120.31044
"豐邑富科技有限公司",24.08165,120.67625
"賀祥公司",22.95193,120.28588
"賀群企業社安南廠",23.05381,120.23715
"資勇企業股份有限公司",23.11707,120.23825
"賢民工廠股份有限公司三廠",22.81666,120.31950
"輿丞股份有限公司",22.94012,120.23973
"進傑精機廠有限公司",24.06850,120.63733
"進源企業社",25.10290,121.43937
"運勤機械工業股份有限公司",23.92996,120.56617
"達榮紙器廠股份有限公司",24.08503,120.68072
"金丰庶工業有限公司",22.80165,120.28588
"金勇行企業有限公司",23.97405,120.55587
"金意興企業有限公司",24.09210,120.48709
"金長興企業社",23.05373,120.22795
"金龍興企業社",23.03871,120.31113
"鉅泰企業社",24.07790,120.68683
"鉫鑫企業有限公司",24.10459,120.70496
"銓信工業股份有限公司",25.09206,121.41749
"銘得螺絲工廠股份有限公司",22.81733,120.31762
"鋐昇金屬有限公司",24.89799,121.00771
"鋸立機械有限公司",24.08265,120.44384
"錡明工業股份有限公司",24.08517,120.68014
"錦續企業社",22.69479,120.36085
"鎂迪企業股份有限公司",24.05811,120.64063
"鑫城土木包工業",23.05853,120.13583
"鑫江眼鏡有限公司",23.02280,120.28903
"鑫立鋼鋁實業社",23.06002,120.22742
"陸正空調機械有限公司",24.23028,120.65390
"雄煒企業社",24.89245,121.23977
"雍鋼企業有限公司",24.00950,120.48296
"雙霸實業開發有限公司",23.02809,120.33202
"順吉公司",22.95193,120.28588
"高島新健康事業股份有限公司",23.05561,120.23663
"鳳瑋金屬有限公司",23.94435,120.55262
"鴻成機械鈑金廠",24.24662,120.68310
"鴻睿實業有限公司",25.06965,121.18974
"鴻鉦實業有限公司",22.98727,120.25348
"鴻鑫福企業有限公司",24.08265,120.44384
"鴻陽企業社",24.23744,120.71360
"鶴力精密工業股份有限公司",24.06512,120.64990
"麗晨企業廠有限公司",24.26345,120.67996
"世祥汽材製造廠有限公司",24.03135,120.64152
"佳立工程行",22.82350,120.31286
"旭台浪板股份有限公司",24.34037,120.66340
"至盈實業有限公司",22.81905,120.31937
"易連工業股份有限公司",22.82359,120.31454
"易連工業股份有限公司",22.82359,120.31454
"銘得螺絲工廠股份有限公司",22.81733,120.31762
"力馬",22.84940,120.26281
"基富",23.05853,120.13583
"木工傢俱",23.05853,120.13583
"東文",22.84940,120.26281
"永昌聖",24.33177,120.65332
"沖床廠",23.05853,120.13583
"鐵工廠",23.05853,120.13583
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
"無名稱",24.10469,120.68121
